gene,k,pooled_effect,se_hk,ci_low,ci_high,p_hk,tau2,I2_percent,prediction_low,prediction_high,max_weight,studies,BH_q,loo_direction_stable,conserved
ERLEC1,7,0.049303373622765045,0.35939404313017,-0.8301021697433576,0.9287089169888877,0.895372469634366,0.0,0.0,-0.8301021697433576,0.9287089169888877,0.38223964036930697,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
FAM53C,7,0.046031276549536954,0.3356751524342019,-0.775336232076609,0.8673987851756829,0.8954135823293189,0.0,0.0,-0.775336232076609,0.8673987851756829,0.3318427428458373,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
EDEM3,7,0.09581275242900707,0.6987823600980029,-1.6140460858658545,1.8056715907238687,0.8954261184795189,1.1876840410630713,54.18988440181276,-3.071951455789856,3.26357696064787,0.22835136829984368,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
SLC7A1,7,-0.09714734041152498,0.7091488795833437,-1.8323721380901925,1.6380774572671424,0.8955187982300207,1.8579032522969603,56.44303258965776,-3.8567980459642177,3.662503365141168,0.21811090522176482,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
TNS1,7,-0.09297901756974183,0.6788300975484338,-1.7540164281749067,1.568058393035423,0.8955354268409919,1.1165298502341416,53.89741690560008,-3.1661095228647125,2.980151487725229,0.23185601457719854,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
ZNF684,4,-0.061461521742773334,0.43070499417217706,-1.4321570391132592,1.3092339956277124,0.8955724325546289,0.0,0.0,-1.4321570391132592,1.3092339956277124,0.5546118755036449,GSE193021;GSE226411;GSE55867;GSE255574,0.9999922887196132,False,False
FBXL12,6,-0.05022414812394107,0.3638868664995256,-0.9856251173742382,0.8851768211263561,0.8956097834675565,0.0,0.0,-0.9856251173742382,0.8851768211263561,0.37403124306510127,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574,0.9999922887196132,False,False
NUDCD2,7,-0.04630806881745718,0.3384971721795254,-0.8745808110026004,0.781964673367686,0.8956600598917421,0.0,0.0,-0.8745808110026004,0.781964673367686,0.33081244796873804,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
TAF1A,7,0.047946677532180716,0.35055248863119004,-0.8098243613478436,0.9057177164122051,0.8956829930353642,0.0,0.0,-0.8098243613478436,0.9057177164122051,0.3681092988689955,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
C1QTNF3,6,-0.11273853441061389,0.8187267730064438,-2.2173427054501142,1.9918656366288865,0.89585110859323,1.8190869868998831,52.6733007928332,-4.1685599306106305,3.943082861789403,0.24150960942774297,GSE193021;GSE181512;GSE226411;GSE55867;GSE255574;GSE310514,0.9999922887196132,False,False
