gene,k,pooled_effect,se_hk,p_hk,tau2,I2_percent,prediction_low,prediction_high,max_weight,studies,BH_q
PELP1,5,-0.25925989448324355,0.387611570016965,0.5402037080963824,0.0,0.0,-1.3354421407748778,0.8169223518083906,0.43747203062816065,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
ARL6IP5,5,0.4578034477417781,0.684500215587758,0.5402330726980756,0.7957041778713417,28.199517876778856,-2.663993602842961,3.579600498326517,0.29865889024552555,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
STK4,5,0.24432264836266335,0.3653642462040862,0.5402931384377205,0.0,0.0,-0.7700911246249532,1.2587364213502799,0.3919951354729395,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
NFX1,5,0.2774913042238047,0.41499601442003703,0.5403216942378909,0.0,0.0,-0.8747223486892999,1.4297049571369094,0.5162025157008753,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
ZNF354C,5,0.26312902272397887,0.3935225852557226,0.5403273312398308,0.0,0.0,-0.8294648328940535,1.3557228783420112,0.45644763953730233,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
ZNF77,4,0.2626393793966788,0.38128007752645166,0.540418248737125,0.0,0.0,-0.950763994605663,1.4760427533990206,0.42426254393654395,GSE193021;GSE226411;GSE55867;GSE255574,0.9999227012193477
SETX,5,0.36821723838911274,0.5509894815416084,0.5405384209006454,0.3799646423959873,17.38252867573522,-1.9272733789812262,2.663707855759452,0.41850690762808523,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
DOLK,5,0.24286746743569593,0.3635405594565177,0.5406662570784005,0.0,0.0,-0.76648293940822,1.2522178742796117,0.37584339093256075,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
C22ORF39,4,-0.291327405472704,0.42322023477927095,0.5406796864631463,0.0,0.0,-1.6382030779672982,1.0555482670218903,0.5197370538927107,GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
ANKRD40,5,0.35311126488577005,0.5287010718135623,0.5407681768210769,0.3386673971299519,20.48490271633795,-1.829874274853521,2.536096804625061,0.4103944224118237,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
SIM2,5,0.26258679487170994,0.39317778882489507,0.5407836511293889,0.0,0.0,-0.8290497523836615,1.3542233421270815,0.45101833266554975,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
TTC7A,5,-0.45887209007110913,0.6870816978821814,0.5407842205219054,0.8128776018732791,43.90170362596409,-3.6061399234190747,2.6883957432768564,0.282814627604698,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
PLOD1,5,0.26804406412319315,0.40139341351221414,0.5408261122770799,0.0,0.0,-0.8464027140814276,1.382490842327814,0.4507895851794124,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
ITGA3,5,0.48023764001168273,0.7193687388425344,0.5409423759074071,0.6523779230646763,50.949141591379274,-2.5227791774634123,3.4832544574867774,0.3511037441243013,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
TTPAL,5,0.36748380365655475,0.5505307792075614,0.5409849016478276,0.32372228827315086,12.162723401773281,-1.8306585367491737,2.565626144062283,0.45857034360519555,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
ERLIN1,5,0.39014034377235723,0.5848104542126367,0.5412069464132072,0.5933799175998786,28.936955560307197,-2.2951043708599337,3.0753850584046485,0.34497501209787995,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
AP2S1,5,-0.25161498935808674,0.37716513699393234,0.5412076255126519,0.0,2.4022505671913845,-1.2987932878161454,0.7955633090999719,0.40885031407563127,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
