gene,k,pooled_effect,se_hk,ci_low,ci_high,p_hk,tau2,I2_percent,prediction_low,prediction_high,max_weight,studies,BH_q
SGPL1,7,0.015873780958290395,0.5303828134263971,-1.2819262108583769,1.313673772774958,0.9770944378757833,0.7991280215251302,52.430056641249365,-2.5275424335421754,2.5592899954587565,0.19677231932182526,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
TRAPPC4,6,0.010311641075110548,0.34293603431300357,-0.8712334995150484,0.8918567816652694,0.9771755669853586,0.0,14.280663349247819,-0.8712334995150484,0.8918567816652694,0.3023803482848794,GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
POP1,7,-0.010399261709613368,0.3492341171382021,-0.864944361759234,0.8441458383400072,0.9772104042388475,0.048285027116549424,24.29898005939938,-1.020026924832534,0.9992284014133073,0.2550970768473524,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
IL17RE,5,-0.009993847508188481,0.3292625594149208,-0.9241732689206429,0.904185573904266,0.9772402078935443,0.0,0.0,-0.9241732689206429,0.904185573904266,0.30501132312669854,GSE193021;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
KBTBD7,5,-0.011852674267261793,0.39252299147965924,-1.1016712126385568,1.0779658641040333,0.9773572054365145,0.0,23.837819495570702,-1.1016712126385568,1.0779658641040333,0.34645019567150065,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9998522961638839
RASA1,7,-0.008645307040971342,0.29230612928947286,-0.723892638961699,0.7066020248797563,0.9773642814347976,0.0,0.0,-0.723892638961699,0.7066020248797563,0.23923063651868712,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
INTS5,7,0.009669272918979241,0.32719672220367746,-0.7909522642969906,0.8102908101349491,0.9773829071259977,0.0,16.228439936198672,-0.7909522642969906,0.8102908101349491,0.26746769092795564,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
STBD1,6,-0.014028715277727848,0.4709800144366794,-1.2247213853363852,1.1966639547809295,0.9773899135895304,0.5057851652035801,44.93365417878423,-2.2067325186026463,2.1786750880471906,0.22416072025905454,GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
PELI1,6,-0.012693873057244587,0.42645202464808396,-1.1089237013879392,1.08353595527345,0.9774050765972766,0.0,38.42083704179569,-1.1089237013879392,1.08353595527345,0.3273964903679337,GSE193021;GSE181512;GSE226411;GSE55867;GSE255574;GSE310514,0.9998522961638839
SDC2,7,-0.008793542474556671,0.29889145368548975,-0.7401545827035322,0.7225674977544189,0.9774833939474401,0.0,0.058841989706207694,-0.7401545827035322,0.7225674977544189,0.24288662813002546,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
ARNTL2,4,0.01222962212086171,0.40177332286256473,-1.2663924047846655,1.290851649026389,0.9776286584712119,0.0,0.0,-1.2663924047846655,1.290851649026389,0.3220010460573692,GSE193021;GSE226411;GSE288678;GSE255574,0.9998522961638839
GNPDA2,7,-0.008945239133859102,0.3088943753754031,-0.7647825469919588,0.7468920687242405,0.9778365792495656,0.0,6.004628762453187,-0.7647825469919588,0.7468920687242405,0.24706196834742095,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
FOXQ1,6,-0.010905385466823224,0.3746336303178092,-0.9739317905802737,0.9521210196466273,0.97790344746368,0.01070648620514681,26.156858699834395,-1.009988540414801,0.9881777694811547,0.28324451983577414,GSE193021;GSE181512;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
THUMPD1,5,0.010467625482861275,0.35586488298203584,-0.9775716869843977,0.9985069379501202,0.977943020833118,0.0,9.219798500495873,-0.9775716869843977,0.9985069379501202,0.3448741595774669,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9998522961638839
CRYGS,4,0.020748565846770334,0.6934681701057002,-2.186176649937969,2.22767378163151,0.9780100287739161,0.8601929858659557,53.72288320500809,-3.6646988859608376,3.7061960176543787,0.33209227636145344,GSE193021;GSE226411;GSE55867;GSE255574,0.9998522961638839
CENPK,7,0.012731979504585574,0.4445321448768967,-1.0749989940095899,1.1004629530187608,0.9780795663888222,0.4100337211144124,43.02152081252633,-1.89467080721081,1.920134766219981,0.2103633001993453,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
PTH1R,4,0.011574408761744542,0.38948562740884246,-1.2279426871466328,1.251091504670122,0.9781590433790093,0.0,0.0,-1.2279426871466328,1.251091504670122,0.34415670462747333,GSE193021;GSE181512;GSE55867;GSE310514,0.9998522961638839
C19ORF53,5,0.01929034215643595,0.6623063794453623,-1.8195669631959128,1.8581476475087846,0.9781593523975504,0.733691173522732,54.603432654814775,-2.986897070979606,3.025477755292478,0.2773029783763246,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9998522961638839
CMIP,7,0.010500082802111317,0.36800162035746475,-0.8899674432911245,0.9109676088953472,0.9781626518505349,0.0,31.713879128316798,-0.8899674432911245,0.9109676088953472,0.26615099606922377,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
NAMPT,7,-0.012285889197698878,0.4316802639483407,-1.0685694429582864,1.0439976645628886,0.9782178044464231,0.0,47.60114129068796,-1.0685694429582864,1.0439976645628886,0.27551036528710604,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
TPD52L2,6,-0.012960090168460652,0.4517188810021242,-1.174140440486483,1.148220260149562,0.9782212904612302,0.33389077345346757,40.00712017905758,-1.8983390001148641,1.872418819777943,0.2327664646925604,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574,0.9998522961638839
MAPK12,6,0.014669040912802366,0.5186979722649161,-1.31868654477278,1.3480246265983846,0.9785324955366314,0.6248664987065555,48.60003469333938,-2.4157397342630142,2.4450778160886193,0.2305471158606508,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
FXR1,7,-0.008225905956062225,0.2938436617467903,-0.7272354442681198,0.7107836323559954,0.9785747011661717,0.0,0.0,-0.7272354442681198,0.7107836323559954,0.2572662607087634,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
NIPA2,7,0.008320784198106173,0.29749314337629335,-0.7196187139637183,0.7362602823599308,0.9785934396729372,0.0,0.0,-0.7196187139637183,0.7362602823599308,0.2230312538639906,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
KPNA4,7,0.01157572553661715,0.41508664513440613,-1.0041047056947716,1.0272561567680059,0.9786563132267552,0.39310834379578524,39.565260808042964,-1.8283413468505418,1.851492797923776,0.21099021005294147,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
FYCO1,7,-0.025234054018920645,0.9048637027620136,-2.2393557719782193,2.188887663940378,0.9786565883240982,1.264635374641427,68.44445419050251,-3.5571152107728343,3.506647102734993,0.21699665095925638,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
FSCN1,6,0.01315224636594833,0.46810409838927364,-1.1901476461404328,1.2164521388723295,0.9786718697983775,0.4707999421979165,43.38613573918473,-2.122011756650107,2.148316249382004,0.23066808872254396,GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
RNF8,7,-0.011761713589078385,0.42382378626213446,-1.0488211589910317,1.0252977318128749,0.9787604216690173,0.0,46.46349162380616,-1.0488211589910317,1.0252977318128749,0.2884627078694238,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
ORAI2,7,-0.00985295585840438,0.35509313687579197,-0.878734560740026,0.8590286490232172,0.9787634045134861,0.0,27.571584266074122,-0.878734560740026,0.8590286490232172,0.2731645843139652,GSE193021;GSE181512;GSE226411;GSE288678;GSE55867;GSE255574;GSE310514,0.9998522961638839
